state,constituency,image,result,votes,margin,name,party
Andhra Pradesh,Narsaraopet,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/YAMPA-2024-7053.jpg,lost,1057,-806939,YAMPATI VEERANJANEYA REDDY,Independent
Andhra Pradesh,Narsaraopet,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/GARLA-2024-20240429075025.jpg,lost,1245,-806751,GARLAPATI SUBHASH PREM,Revolutionary Socialist Party
Andhra Pradesh,Narsaraopet,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/KUCHI-2024-7352.jpg,lost,2336,-805660,KUCHIPUDI JOHN BABU,Jaibhim Rao Bharat Party
Andhra Pradesh,Narsaraopet,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/ORSUP-2024-20240429075540.jpg,lost,5309,-802687,ORSU PREMARAJU,Bahujan Samaj Party
Andhra Pradesh,Narsaraopet,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/GARNE-2024-20240429074904.jpg,lost,18046,-789950,GARNEPUDI ALEXANDER SUDHAKAR,Indian National Congress
Andhra Pradesh,Narsaraopet,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/ANILK-2024-5952.jpg,lost,648267,-159729,ANIL KUMAR POLUBOINA,Yuvajana Sramika Rythu Congress Party
Andhra Pradesh,Narsapuram,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/NALLI-2024-8437.jpg,lost,4684,-702659,NALLI RAJESH,Independent
Andhra Pradesh,Narsaraopet,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/LAVUS-2024-20240429080048.jpg,won,807996,+ 159729,LAVU SRIKRISHNA DEVARAYALU,Telugu Desam
Andhra Pradesh,Narsapuram,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/ADABA-2024-20240425041309.jpg,lost,683,-706660,ADABALA SIVA,Independent
Andhra Pradesh,Narsapuram,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/RUKHM-2024-8260.jpg,lost,686,-706657,RUKHMINI,Independent
Andhra Pradesh,Narsapuram,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/1713661620IMG-20240420-WA0000.jpg,lost,920,-706423,RAMA DURGA PRASAD THOLETI,Independent
Andhra Pradesh,Narsapuram,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/LEELA-2024-20240422030108.jpg,lost,930,-706413,MANNE LEELA RAMA NARENDRA,Pyramid Party of India
Andhra Pradesh,Narsapuram,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/ADINA-2024-8366.jpg,lost,1007,-706336,ADINARAYANA DUPPANAPUDI,Independent
Andhra Pradesh,Narsapuram,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/GOTTU-2024-8247.jpg,lost,1384,-705959,GOTTUMUKKALA SHIVAJI,Independent
Andhra Pradesh,Narsapuram,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/SEKHA-2024-20240425043617.jpg,lost,1393,-705950,ADDANKI DORABABU,Independent
Andhra Pradesh,Narsapuram,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/GEDAL-2024-20240423040512.jpg,lost,1527,-705816,GEDALA LAXMANA RAO,Independent
Andhra Pradesh,Narsapuram,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/GANJI-2024-20240425025259.jpg,lost,1649,-705694,GANJI PURNIMA,Republican Party of India (A)
Andhra Pradesh,Narsapuram,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/ANAND-2024-7671.jpg,lost,2726,-704617,ANAND CHANDULAL JASTI,Independent
Andhra Pradesh,Narsapuram,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/ADDEP-2024-20240423042004.jpg,lost,2783,-704560,ADDEPALLI VEERA VENKAT SUBBA RAO,Independent
Andhra Pradesh,Narsapuram,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/OLETY-2024-6791.jpg,lost,3116,-704227,OLETY NAGENDRA KRISHNA,Jaibhim Rao Bharat Party
Andhra Pradesh,Narsapuram,img/nota.jpg,,7677,-699666,NOTA,None of the Above
Andhra Pradesh,Rajampet,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/POOLA-2024-20240425092338.jpg,lost,6100,-638744,POOLA REDDY SEKHAR,Independent
Andhra Pradesh,Rajampet,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/SANGA-2024-7144.jpg,lost,1535,-643309,SANGARAJU NAGESWARA RAJU,Independent
Andhra Pradesh,Rajampet,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/PRADE-2024-20240423045739.jpg,lost,5672,-639172,PRADEEP PENAMADU,All India Forward Bloc
Andhra Pradesh,Visakhapatnam,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/VENUM-2024-7647.jpg,lost,647,-906820,VENU MADHAV KARRI,Independent
Andhra Pradesh,Visakhapatnam,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/DEVAR-2024-8255.jpg,lost,661,-906806,SHANKAR DEVARA YADAV,Independent
Andhra Pradesh,Visakhapatnam,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/MOHAM-2024-5868.jpg,lost,742,-906725,M.G.M. KHAN,Independent
Andhra Pradesh,Visakhapatnam,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/CHAPP-2024-5964.jpg,lost,757,-906710,CHAPPIDI RAMU,Independent
Andhra Pradesh,Visakhapatnam,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/DURGA-2024-7616.jpg,lost,767,-906700,DURGA PRASAD. GUNTU,Bhartiya Rashtriya Dal
Andhra Pradesh,Visakhapatnam,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/PULAM-2024-5269.jpg,lost,882,-906585,P. SATYA VANI,Pyramid Party of India
Andhra Pradesh,Visakhapatnam,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BANNA-2024-5813.jpg,lost,948,-906519,BANNA. RAMESH,Dalita Bahujana Party
